timestamp,sensor_A,sensor_B,sensor_C,sensor_D
2024-01-01 08:00:00,50.99,41.24,50.01,27.54
2024-01-01 08:00:01,49.92,43.28,48.67,26.11
2024-01-01 08:00:02,51.70,40.76,49.54,33.34
2024-01-01 08:00:03,53.65,40.62,52.34,36.61
2024-01-01 08:00:04,50.33,36.96,51.62,29.82
2024-01-01 08:00:05,50.53,83.77,51.21,30.38
2024-01-01 08:00:06,54.36,76.74,46.09,37.48
2024-01-01 08:00:07,52.93,79.70,43.79,33.90
2024-01-01 08:00:08,50.66,82.71,48.98,33.89
2024-01-01 08:00:09,52.88,76.98,51.89,27.64
2024-01-01 08:00:10,51.07,80.07,44.78,35.38
2024-01-01 08:00:11,51.26,86.81,46.08,29.21
2024-01-01 08:00:12,52.88,82.39,48.65,28.65
2024-01-01 08:00:13,48.77,80.99,47.79,32.05
2024-01-01 08:00:14,49.34,79.79,48.02,31.35
2024-01-01 08:00:15,51.86,79.62,47.61,33.06
2024-01-01 08:00:16,51.16,80.26,45.21,28.43
2024-01-01 08:00:17,54.01,81.67,44.67,38.27
2024-01-01 08:00:18,51.76,81.58,51.05,39.19
2024-01-01 08:00:19,50.95,80.59,45.51,27.12
2024-01-01 08:00:20,56.90,79.27,41.06,39.06
2024-01-01 08:00:21,53.72,81.42,45.88,32.13
2024-01-01 08:00:22,54.50,84.21,49.50,39.03
2024-01-01 08:00:23,51.71,83.69,48.38,35.55
2024-01-01 08:00:24,53.67,83.92,46.41,36.16
2024-01-01 08:00:25,55.17,83.49,47.03,35.51
2024-01-01 08:00:26,52.84,81.35,43.06,41.31
2024-01-01 08:00:27,56.09,81.08,47.83,31.71
2024-01-01 08:00:28,54.33,80.90,48.55,39.30
2024-01-01 08:00:29,55.14,83.86,45.69,41.46
2024-01-01 08:00:30,54.71,86.11,50.19,40.11
2024-01-01 08:00:31,59.81,82.12,40.73,46.73
2024-01-01 08:00:32,56.26,84.23,49.63,35.49
2024-01-01 08:00:33,54.37,83.76,47.84,41.61
2024-01-01 08:00:34,58.31,82.44,44.00,37.53
2024-01-01 08:00:35,54.42,87.94,47.29,43.04
2024-01-01 08:00:36,57.46,84.63,45.20,38.23
2024-01-01 08:00:37,53.31,85.38,51.67,36.86
2024-01-01 08:00:38,54.76,87.54,43.91,43.78
2024-01-01 08:00:39,58.00,86.67,42.91,36.73
2024-01-01 08:00:40,59.27,83.15,47.55,33.17
2024-01-01 08:00:41,58.31,85.26,43.22,36.88
2024-01-01 08:00:42,57.92,82.29,47.95,41.54
2024-01-01 08:00:43,57.74,86.56,50.46,44.74
2024-01-01 08:00:44,55.56,81.97,45.46,39.73
2024-01-01 08:00:45,57.26,90.48,47.69,44.65
2024-01-01 08:00:46,57.96,83.80,41.76,34.04
2024-01-01 08:00:47,61.17,85.81,45.56,37.78
2024-01-01 08:00:48,59.92,85.33,44.64,38.47
2024-01-01 08:00:49,55.89,85.63,47.89,39.24
2024-01-01 08:00:50,60.24,82.61,41.92,40.10
2024-01-01 08:00:51,58.99,87.29,39.62,42.58
2024-01-01 08:00:52,58.58,92.99,46.36,38.08
2024-01-01 08:00:53,61.33,85.21,37.01,40.46
2024-01-01 08:00:54,62.34,85.09,41.64,39.76
2024-01-01 08:00:55,62.32,86.87,45.43,36.26
2024-01-01 08:00:56,58.95,88.05,45.21,39.53
2024-01-01 08:00:57,60.17,86.91,49.74,39.42
2024-01-01 08:00:58,61.62,87.78,46.10,39.34
2024-01-01 08:00:59,63.08,90.85,40.19,40.12
2024-01-01 08:01:00,60.33,93.46,43.88,40.29
2024-01-01 08:01:01,61.09,86.77,43.21,38.24
2024-01-01 08:01:02,59.41,89.58,39.61,45.04
2024-01-01 08:01:03,59.39,86.71,41.54,35.24
2024-01-01 08:01:04,63.57,88.55,40.18,36.99
2024-01-01 08:01:05,64.82,89.21,35.00,50.95
2024-01-01 08:01:06,62.12,91.84,42.87,35.62
2024-01-01 08:01:07,64.43,88.24,40.60,34.30
2024-01-01 08:01:08,63.30,86.89,37.00,42.58
